position,position_label,layer,mean,std,ci_low,ci_high,n_pairs
0,"""Everyone"" (before entity)",0,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",1,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",2,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",3,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",4,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",5,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",6,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",7,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",8,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",9,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",10,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",11,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",12,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",13,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",14,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",15,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",16,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",17,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",18,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",19,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",20,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",21,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",22,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",23,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",24,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",25,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",26,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",27,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",28,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",29,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",30,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",31,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",32,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",33,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",34,0.0,0.0,0.0,0.0,16
0,"""Everyone"" (before entity)",35,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",0,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",1,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",2,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",3,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",4,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",5,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",6,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",7,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",8,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",9,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",10,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",11,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",12,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",13,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",14,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",15,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",16,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",17,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",18,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",19,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",20,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",21,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",22,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",23,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",24,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",25,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",26,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",27,0.0,0.0,0.0,0.0,16
1,"""knows"" (before entity)",28,0.0,0.0,0.0,0.0,16
