placement,filler_family,target_added_tokens,actual_added_tokens,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples,metric
gap,cards,0,0,stable_crossover_layer,25.0625,25.5,0.9979144919948469,24.375,25.75,16,8,20260716,2000,stable_crossover_layer
gap,cards,8,10,stable_crossover_layer,28.0,27.0,2.1291625896895083,26.6875,29.5,16,8,20260716,2000,stable_crossover_layer
gap,cards,32,29,stable_crossover_layer,31.75,32.0,1.4375905768565218,30.75,32.625,16,8,20260716,2000,stable_crossover_layer
gap,cards,64,68,stable_crossover_layer,32.0625,32.5,1.4361406616345072,31.0625,33.0,16,8,20260716,2000,stable_crossover_layer
gap,cards,128,126,stable_crossover_layer,32.625,33.0,1.1474609652039003,31.875,33.375,16,8,20260716,2000,stable_crossover_layer
gap,meadow,0,0,stable_crossover_layer,25.0625,25.5,0.9979144919948469,24.375,25.75,16,8,20260716,2000,stable_crossover_layer
gap,meadow,8,8,stable_crossover_layer,31.0625,31.0,0.7719024117939607,30.5625,31.5,16,8,20260716,2000,stable_crossover_layer
gap,meadow,32,35,stable_crossover_layer,31.625,32.0,1.3601470508735443,30.75,32.5,16,8,20260716,2000,stable_crossover_layer
gap,meadow,64,69,stable_crossover_layer,31.9375,32.0,1.526160760426852,30.875,32.875,16,8,20260716,2000,stable_crossover_layer
gap,meadow,128,125,stable_crossover_layer,32.125,32.0,0.806225774829855,31.625,32.625,16,8,20260716,2000,stable_crossover_layer
gap,room,0,0,stable_crossover_layer,25.0625,25.5,0.9979144919948469,24.375,25.75,16,8,20260716,2000,stable_crossover_layer
gap,room,8,8,stable_crossover_layer,27.375,27.0,1.3601470508735443,26.625,28.375,16,8,20260716,2000,stable_crossover_layer
gap,room,32,28,stable_crossover_layer,31.875,32.0,0.806225774829855,31.375,32.375,16,8,20260716,2000,stable_crossover_layer
gap,room,64,66,stable_crossover_layer,32.25,32.0,1.0,31.625,32.875,16,8,20260716,2000,stable_crossover_layer
gap,room,128,127,stable_crossover_layer,32.75,33.0,1.1832159566199232,31.9375,33.4375,16,8,20260716,2000,stable_crossover_layer
prefix,cards,0,0,stable_crossover_layer,25.0625,25.5,0.9979144919948469,24.375,25.75,16,8,20260716,2000,stable_crossover_layer
prefix,cards,8,10,stable_crossover_layer,27.0625,26.0,2.5157835094989127,25.5625,28.8125,16,8,20260716,2000,stable_crossover_layer
prefix,cards,32,29,stable_crossover_layer,26.5,26.0,1.632993161855452,25.5,27.5,16,8,20260716,2000,stable_crossover_layer
prefix,cards,64,68,stable_crossover_layer,25.5625,26.0,0.963932916061417,24.8125,26.125,16,8,20260716,2000,stable_crossover_layer
prefix,cards,128,126,stable_crossover_layer,25.125,26.0,1.02469507659596,24.5,25.75,16,8,20260716,2000,stable_crossover_layer
prefix,meadow,0,0,stable_crossover_layer,25.0625,25.5,0.9979144919948469,24.375,25.75,16,8,20260716,2000,stable_crossover_layer
prefix,meadow,8,8,stable_crossover_layer,30.5,30.0,1.5491933384829668,29.5,31.5,16,8,20260716,2000,stable_crossover_layer
prefix,meadow,32,35,stable_crossover_layer,25.5625,25.5,1.9653244007033546,24.5,27.0,16,8,20260716,2000,stable_crossover_layer
prefix,meadow,64,69,stable_crossover_layer,26.125,26.0,2.526525941551627,24.625,27.875,16,8,20260716,2000,stable_crossover_layer
prefix,meadow,128,125,stable_crossover_layer,25.0,25.0,1.0327955589886444,24.375,25.625,16,8,20260716,2000,stable_crossover_layer
prefix,room,0,0,stable_crossover_layer,25.0625,25.5,0.9979144919948469,24.375,25.75,16,8,20260716,2000,stable_crossover_layer
prefix,room,8,8,stable_crossover_layer,27.75,27.0,2.2949219304078006,26.375,29.375,16,8,20260716,2000,stable_crossover_layer
prefix,room,32,28,stable_crossover_layer,27.1875,27.0,1.4705441169852742,26.3125,28.25,16,8,20260716,2000,stable_crossover_layer
prefix,room,64,66,stable_crossover_layer,25.375,26.0,0.9574271077563381,24.75,25.878124999999983,16,8,20260716,2000,stable_crossover_layer
prefix,room,128,127,stable_crossover_layer,25.75,26.0,1.1254628677422756,25.0,26.375,16,8,20260716,2000,stable_crossover_layer
gap,cards,0,0,steepest_subject_decline_layer,24.25,24.0,0.6831300510639732,24.0,24.75,16,8,20260716,2000,steepest_subject_decline_layer
gap,cards,8,10,steepest_subject_decline_layer,26.4375,24.0,3.61420807370024,24.75,28.5,16,8,20260716,2000,steepest_subject_decline_layer
gap,cards,32,29,steepest_subject_decline_layer,31.75,34.0,3.9749213828703582,29.25,33.625,16,8,20260716,2000,steepest_subject_decline_layer
gap,cards,64,68,steepest_subject_decline_layer,32.8125,34.0,2.638654960391752,31.1875,34.0,16,8,20260716,2000,steepest_subject_decline_layer
gap,cards,128,126,steepest_subject_decline_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,steepest_subject_decline_layer
gap,meadow,0,0,steepest_subject_decline_layer,24.25,24.0,0.6831300510639732,24.0,24.75,16,8,20260716,2000,steepest_subject_decline_layer
gap,meadow,8,8,steepest_subject_decline_layer,31.4375,33.5,3.8465352375005395,29.0,33.375,16,8,20260716,2000,steepest_subject_decline_layer
gap,meadow,32,35,steepest_subject_decline_layer,32.375,34.0,3.4229616805723473,29.875,34.0,16,8,20260716,2000,steepest_subject_decline_layer
gap,meadow,64,69,steepest_subject_decline_layer,32.375,34.0,3.4229616805723473,29.875,34.0,16,8,20260716,2000,steepest_subject_decline_layer
gap,meadow,128,125,steepest_subject_decline_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,steepest_subject_decline_layer
gap,room,0,0,steepest_subject_decline_layer,24.25,24.0,0.6831300510639732,24.0,24.75,16,8,20260716,2000,steepest_subject_decline_layer
gap,room,8,8,steepest_subject_decline_layer,26.0625,24.0,4.106397447885433,24.375,27.8125,16,8,20260716,2000,steepest_subject_decline_layer
gap,room,32,28,steepest_subject_decline_layer,32.8125,34.0,2.638654960391752,31.1875,34.0,16,8,20260716,2000,steepest_subject_decline_layer
gap,room,64,66,steepest_subject_decline_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,steepest_subject_decline_layer
gap,room,128,127,steepest_subject_decline_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,steepest_subject_decline_layer
prefix,cards,0,0,steepest_subject_decline_layer,24.25,24.0,0.6831300510639732,24.0,24.75,16,8,20260716,2000,steepest_subject_decline_layer
prefix,cards,8,10,steepest_subject_decline_layer,25.8125,24.0,3.506541506004646,24.0625,28.0625,16,8,20260716,2000,steepest_subject_decline_layer
prefix,cards,32,29,steepest_subject_decline_layer,25.4375,24.0,3.0977142110487423,24.0625,27.25,16,8,20260716,2000,steepest_subject_decline_layer
prefix,cards,64,68,steepest_subject_decline_layer,24.5,24.0,0.8944271909999159,24.125,25.0,16,8,20260716,2000,steepest_subject_decline_layer
prefix,cards,128,126,steepest_subject_decline_layer,24.25,24.0,0.6831300510639732,24.0,24.625,16,8,20260716,2000,steepest_subject_decline_layer
prefix,meadow,0,0,steepest_subject_decline_layer,24.25,24.0,0.6831300510639732,24.0,24.75,16,8,20260716,2000,steepest_subject_decline_layer
prefix,meadow,8,8,steepest_subject_decline_layer,29.6875,32.0,6.75,26.9359375,32.125,16,8,20260716,2000,steepest_subject_decline_layer
prefix,meadow,32,35,steepest_subject_decline_layer,22.25,24.0,5.196152422706632,18.375,24.375,16,8,20260716,2000,steepest_subject_decline_layer
prefix,meadow,64,69,steepest_subject_decline_layer,23.625,24.0,6.611858034370268,19.125,27.0,16,8,20260716,2000,steepest_subject_decline_layer
prefix,meadow,128,125,steepest_subject_decline_layer,23.4375,24.0,3.932238548206352,21.3125,24.875,16,8,20260716,2000,steepest_subject_decline_layer
prefix,room,0,0,steepest_subject_decline_layer,24.25,24.0,0.6831300510639732,24.0,24.75,16,8,20260716,2000,steepest_subject_decline_layer
prefix,room,8,8,steepest_subject_decline_layer,26.125,26.0,6.042902172521632,22.75,29.5625,16,8,20260716,2000,steepest_subject_decline_layer
