placement,filler_family,target_added_tokens,actual_added_tokens,pair_id,unordered_pair_id,donor_entity,recipient_entity,role,P_subject,P_readout,subject_to_readout_distance,stable_crossover_layer,steepest_subject_decline_layer,steepest_subject_decline,steepest_readout_increase_layer,steepest_readout_increase,strongest_attention_transfer_layer,strongest_attention_transfer_effect,subject_recovery_auc,readout_recovery_auc,post_subject_recovery_auc,intermediate_recovery_auc,intermediate_peak_recovery,intermediate_peak_layer
gap,cards,0,0,city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,[2],10,8,24.0,24,-0.4819277108433735,24,0.4216867469879519,24,0.30722891566265054,22.801204819277107,9.03012048192771,13.740963855421684,4.614457831325301,0.2409638554216867,24
gap,cards,0,0,city_Tokyo_into_Paris,city_Paris_Tokyo,Tokyo,Paris,city,[2],10,8,24.0,24,-0.4457831325301206,24,0.2891566265060241,24,0.31325301204819284,21.343373493975903,8.746987951807228,12.180722891566266,3.054216867469878,0.1927710843373494,25
gap,cards,0,0,company_Apple_into_Google,company_Apple_Google,Apple,Google,company,[2],10,8,25.0,24,-0.28,24,0.26,24,0.19999999999999998,21.41,6.55,11.82,4.36,0.32,26
gap,cards,0,0,company_Google_into_Apple,company_Apple_Google,Google,Apple,company,[2],10,8,24.0,24,-0.32000000000000006,24,0.24,24,0.21000000000000002,23.23,7.68,13.700000000000001,5.74,0.34,26
gap,cards,0,0,composer_Bach_into_Mozart,composer_Bach_Mozart,Bach,Mozart,composer,[2],10,8,26.0,26,-0.2678571428571429,26,0.2500000000000001,26,0.21428571428571425,26.705357142857142,7.767857142857143,10.089285714285714,2.1874999999999982,0.1964285714285714,26
gap,cards,0,0,composer_Mozart_into_Bach,composer_Bach_Mozart,Mozart,Bach,composer,[2],10,8,26.0,26,-0.2857142857142857,26,0.25,26,0.2321428571428571,24.857142857142858,6.321428571428572,8.303571428571429,1.8749999999999991,0.2321428571428571,26
gap,cards,0,0,country_France_into_Japan,country_France_Japan,France,Japan,country,[2],10,8,24.0,24,-0.5,24,0.28409090909090917,24,0.26136363636363635,23.426136363636367,8.02840909090909,11.551136363636365,3.301136363636362,0.25,26
gap,cards,0,0,country_Japan_into_France,country_France_Japan,Japan,France,country,[2],10,8,24.0,24,-0.48863636363636365,24,0.36363636363636376,24,0.24999999999999997,23.38068181818182,8.352272727272727,11.647727272727273,3.249999999999999,0.25,26
gap,cards,0,0,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,Darwin,Einstein,scientist,[2],10,8,26.0,24,-0.3173076923076924,26,0.2884615384615385,24,0.2211538461538461,21.40865384615384,4.966346153846155,6.120192307692308,1.0480769230769225,0.1923076923076923,26
gap,cards,0,0,scientist_Darwin_into_Newton,scientist_Darwin_Newton,Darwin,Newton,scientist,[2],10,8,26.0,24,-0.19130434782608696,26,0.24347826086956528,26,0.17826086956521733,21.63913043478261,5.526086956521739,8.469565217391304,1.5608695652173907,0.1826086956521739,26
gap,cards,0,0,scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,Einstein,Darwin,scientist,[2],10,8,26.0,24,-0.3076923076923077,24,0.2788461538461539,26,0.1538461538461538,29.000000000000007,10.163461538461537,13.490384615384615,3.1874999999999987,0.25,26
gap,cards,0,0,scientist_Einstein_into_Newton,scientist_Einstein_Newton,Einstein,Newton,scientist,[2],10,8,24.0,24,-0.4057971014492754,24,0.24637681159420294,24,0.26086956521739135,25.188405797101446,11.326086956521737,15.079710144927537,3.2898550724637667,0.1884057971014492,25
gap,cards,0,0,scientist_Newton_into_Darwin,scientist_Darwin_Newton,Newton,Darwin,scientist,[2],10,8,26.0,24,-0.22608695652173905,24,0.20869565217391312,26,0.1956521739130435,26.582608695652173,9.38695652173913,13.413043478260867,4.069565217391303,0.2347826086956521,24
gap,cards,0,0,scientist_Newton_into_Einstein,scientist_Einstein_Newton,Newton,Einstein,scientist,[2],10,8,24.0,24,-0.27536231884057977,24,0.3623188405797101,24,0.2681159420289855,19.594202898550723,7.9275362318840585,9.927536231884057,2.4782608695652164,0.2318840579710145,26
gap,cards,0,0,writer_Dickens_into_Shakespeare,writer_Dickens_Shakespeare,Dickens,Shakespeare,writer,[2],10,8,26.0,24,-0.328125,24,0.1875,26,0.21875,24.53125,8.4453125,11.40625,2.828125,0.25,26
gap,cards,0,0,writer_Shakespeare_into_Dickens,writer_Dickens_Shakespeare,Shakespeare,Dickens,writer,[2],10,8,26.0,24,-0.234375,26,0.3125,26,0.203125,23.671875,7.1953125,10.3515625,3.1875,0.328125,26
gap,cards,8,10,city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,[2],20,18,26.0,24,-0.2666666666666667,24,0.2533333333333333,24,0.22666666666666668,23.693333333333335,7.3599999999999985,13.526666666666666,6.159999999999998,0.3333333333333333,10
gap,cards,8,10,city_Tokyo_into_Paris,city_Paris_Tokyo,Tokyo,Paris,city,[2],20,18,26.0,24,-0.22666666666666674,31,0.22666666666666668,24,0.23333333333333328,21.56666666666667,6.393333333333333,11.206666666666667,4.539999999999999,0.2266666666666666,11
gap,cards,8,10,company_Apple_into_Google,company_Apple_Google,Apple,Google,company,[2],20,18,27.0,24,-0.21666666666666656,24,0.2,24,0.20833333333333334,23.424999999999997,6.2333333333333325,9.633333333333333,3.6083333333333316,0.2,26
gap,cards,8,10,company_Google_into_Apple,company_Apple_Google,Google,Apple,company,[2],20,18,28.0,24,-0.23333333333333328,24,0.2,24,0.19999999999999984,25.333333333333332,6.766666666666666,11.558333333333334,4.499999999999998,0.2166666666666666,11
gap,cards,8,10,composer_Bach_into_Mozart,composer_Bach_Mozart,Bach,Mozart,composer,[2],20,18,31.0,26,-0.2093023255813954,34,0.2558139534883721,34,0.1744186046511627,25.604651162790695,4.709302325581396,7.244186046511626,2.651162790697673,0.2093023255813953,26
gap,cards,8,10,composer_Mozart_into_Bach,composer_Bach_Mozart,Mozart,Bach,composer,[2],20,18,31.0,34,-0.2325581395348838,31,0.16279069767441867,34,0.1627906976744186,27.5,6.151162790697674,9.453488372093023,3.3372093023255793,0.2558139534883721,26
gap,cards,8,10,country_France_into_Japan,country_France_Japan,France,Japan,country,[2],20,18,31.0,31,-0.25,31,0.3684210526315789,31,0.3157894736842105,24.815789473684205,5.8355263157894735,9.631578947368421,3.5789473684210513,0.1842105263157894,26
gap,cards,8,10,country_Japan_into_France,country_France_Japan,Japan,France,country,[2],20,18,31.0,31,-0.31578947368421056,31,0.2763157894736842,31,0.3092105263157895,25.368421052631582,5.947368421052632,10.144736842105262,4.388157894736841,0.2368421052631578,24
gap,cards,8,10,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,Darwin,Einstein,scientist,[2],20,18,26.0,24,-0.2098765432098766,24,0.19753086419753088,24,0.19753086419753085,23.71604938271605,7.864197530864195,10.30864197530864,2.691358024691356,0.1851851851851851,26
gap,cards,8,10,scientist_Darwin_into_Newton,scientist_Darwin_Newton,Darwin,Newton,scientist,[2],20,18,27.0,33,-0.17105263157894743,24,0.1710526315789474,34,0.16447368421052627,24.585526315789473,6.894736842105263,10.947368421052632,3.690789473684209,0.2236842105263158,26
gap,cards,8,10,scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,Einstein,Darwin,scientist,[2],20,18,26.0,24,-0.24691358024691357,24,0.23456790123456786,24,0.1975308641975309,24.61111111111111,7.746913580246913,11.234567901234566,3.302469135802467,0.1975308641975308,23
gap,cards,8,10,scientist_Einstein_into_Newton,scientist_Einstein_Newton,Einstein,Newton,scientist,[2],20,18,26.0,24,-0.25454545454545463,24,0.2545454545454546,24,0.20909090909090908,24.79090909090909,7.127272727272729,11.536363636363637,4.318181818181818,0.2363636363636363,23
gap,cards,8,10,scientist_Newton_into_Darwin,scientist_Darwin_Newton,Newton,Darwin,scientist,[2],20,18,27.0,24,-0.1842105263157895,34,0.17105263157894746,24,0.16447368421052624,24.04605263157895,6.230263157894736,10.394736842105262,4.184210526315788,0.2236842105263158,19
gap,cards,8,10,scientist_Newton_into_Einstein,scientist_Einstein_Newton,Newton,Einstein,scientist,[2],20,18,26.0,24,-0.23636363636363633,34,0.20000000000000007,24,0.21818181818181806,23.236363636363635,6.718181818181817,10.118181818181817,3.7454545454545443,0.2181818181818181,26
gap,cards,8,10,writer_Dickens_into_Shakespeare,writer_Dickens_Shakespeare,Dickens,Shakespeare,writer,[2],20,18,29.0,26,-0.14754098360655732,34,0.1803278688524591,34,0.14754098360655737,27.483606557377048,5.737704918032787,8.819672131147541,2.434426229508195,0.1967213114754098,26
gap,cards,8,10,writer_Shakespeare_into_Dickens,writer_Dickens_Shakespeare,Shakespeare,Dickens,writer,[2],20,18,30.0,26,-0.14754098360655743,34,0.1803278688524591,34,0.14754098360655737,26.065573770491802,5.065573770491803,7.270491803278688,1.721311475409835,0.1967213114754098,26
gap,cards,32,29,city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,[2],39,37,29.0,24,-0.26388888888888884,31,0.23611111111111116,31,0.23611111111111113,24.597222222222218,6.79861111111111,13.111111111111112,6.208333333333333,0.3472222222222222,10
gap,cards,32,29,city_Tokyo_into_Paris,city_Paris_Tokyo,Tokyo,Paris,city,[2],39,37,29.0,24,-0.19444444444444448,31,0.27777777777777773,31,0.25,21.874999999999996,5.430555555555556,10.402777777777775,4.7222222222222205,0.25,24
gap,cards,32,29,company_Apple_into_Google,company_Apple_Google,Apple,Google,company,[2],39,37,31.0,34,-0.1967213114754098,34,0.16393442622950838,34,0.18032786885245905,24.39344262295082,5.483606557377049,8.83606557377049,3.467213114754097,0.2131147540983606,26
gap,cards,32,29,company_Google_into_Apple,company_Apple_Google,Google,Apple,company,[2],39,37,31.0,24,-0.19672131147540983,34,0.21311475409836067,34,0.22131147540983603,26.303278688524593,6.155737704918032,10.540983606557374,4.8114754098360635,0.2131147540983606,14
gap,cards,32,29,composer_Bach_into_Mozart,composer_Bach_Mozart,Bach,Mozart,composer,[2],39,37,34.0,34,-0.4042553191489362,34,0.5106382978723404,34,0.40425531914893614,29.574468085106385,2.659574468085106,3.7765957446808507,1.2446808510638292,0.1063829787234042,26
gap,cards,32,29,composer_Mozart_into_Bach,composer_Bach_Mozart,Mozart,Bach,composer,[2],39,37,34.0,34,-0.5106382978723405,34,0.38297872340425543,34,0.4255319148936169,31.329787234042552,3.606382978723404,5.457446808510638,1.6063829787234034,0.1063829787234042,26
gap,cards,32,29,country_France_into_Japan,country_France_Japan,France,Japan,country,[2],39,37,31.0,31,-0.2564102564102564,31,0.358974358974359,31,0.31410256410256404,24.46794871794872,6.0,9.698717948717947,3.9871794871794854,0.1923076923076923,24
gap,cards,32,29,country_Japan_into_France,country_France_Japan,Japan,France,country,[2],39,37,31.0,31,-0.3461538461538461,31,0.25641025641025644,31,0.28846153846153844,25.307692307692307,5.756410256410257,10.384615384615383,4.28205128205128,0.2307692307692307,24
gap,cards,32,29,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,Darwin,Einstein,scientist,[2],39,37,32.0,34,-0.2181818181818181,34,0.2727272727272727,34,0.21818181818181812,24.81818181818182,2.8272727272727276,3.1000000000000005,-0.5090909090909087,0.1272727272727272,33
gap,cards,32,29,scientist_Darwin_into_Newton,scientist_Darwin_Newton,Darwin,Newton,scientist,[2],39,37,32.0,34,-0.2985074626865671,34,0.26865671641791045,34,0.27611940298507465,26.0,4.701492537313432,8.589552238805968,3.5373134328358193,0.1940298507462686,23
gap,cards,32,29,scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,Einstein,Darwin,scientist,[2],39,37,32.0,34,-0.23636363636363641,34,0.23636363636363644,34,0.22727272727272715,31.727272727272727,5.336363636363636,10.036363636363635,4.799999999999999,0.2545454545454545,23
gap,cards,32,29,scientist_Einstein_into_Newton,scientist_Einstein_Newton,Einstein,Newton,scientist,[2],39,37,33.0,34,-0.4666666666666666,34,0.28888888888888886,34,0.3666666666666665,29.288888888888888,4.644444444444445,10.377777777777778,5.144444444444442,0.2666666666666666,21
gap,cards,32,29,scientist_Newton_into_Darwin,scientist_Darwin_Newton,Newton,Darwin,scientist,[2],39,37,32.0,34,-0.2686567164179104,34,0.32835820895522394,34,0.28358208955223874,26.402985074626862,4.485074626865671,9.022388059701493,4.4626865671641776,0.2238805970149253,26
gap,cards,32,29,scientist_Newton_into_Einstein,scientist_Einstein_Newton,Newton,Einstein,scientist,[2],39,37,33.0,34,-0.2888888888888889,34,0.4666666666666667,34,0.3666666666666667,24.6,3.5444444444444434,5.5555555555555545,2.1777777777777767,0.1777777777777777,32
gap,cards,32,29,writer_Dickens_into_Shakespeare,writer_Dickens_Shakespeare,Dickens,Shakespeare,writer,[2],39,37,32.0,34,-0.2916666666666667,34,0.33333333333333326,34,0.33333333333333326,29.093750000000004,3.729166666666666,5.90625,2.177083333333333,0.1666666666666666,26
gap,cards,32,29,writer_Shakespeare_into_Dickens,writer_Dickens_Shakespeare,Shakespeare,Dickens,writer,[2],39,37,32.0,34,-0.3125,34,0.33333333333333337,34,0.32291666666666663,29.218749999999996,3.156250000000001,5.854166666666666,2.0624999999999987,0.1666666666666666,26
gap,cards,64,68,city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,[2],78,76,30.0,24,-0.27419354838709675,31,0.24193548387096786,31,0.24193548387096772,24.338709677419356,6.11290322580645,11.903225806451612,5.669354838709676,0.2741935483870967,10
gap,cards,64,68,city_Tokyo_into_Paris,city_Paris_Tokyo,Tokyo,Paris,city,[2],78,76,29.0,31,-0.22580645161290328,31,0.24193548387096775,31,0.24999999999999997,22.76612903225806,5.427419354838709,10.57258064516129,4.491935483870967,0.2580645161290322,25
gap,cards,64,68,company_Apple_into_Google,company_Apple_Google,Apple,Google,company,[2],78,76,31.0,34,-0.2307692307692307,34,0.2153846153846155,34,0.2461538461538461,26.792307692307695,4.684615384615386,8.06923076923077,2.9846153846153842,0.2153846153846154,26
gap,cards,64,68,company_Google_into_Apple,company_Apple_Google,Google,Apple,company,[2],78,76,31.0,34,-0.2000000000000001,34,0.2615384615384617,34,0.2307692307692308,26.999999999999996,5.030769230769229,8.338461538461537,3.5076923076923068,0.2,26
gap,cards,64,68,composer_Bach_into_Mozart,composer_Bach_Mozart,Bach,Mozart,composer,[2],78,76,34.0,34,-0.4285714285714285,34,0.489795918367347,34,0.41836734693877553,29.64285714285714,2.4285714285714284,3.6020408163265305,0.7448979591836731,0.1020408163265306,26
gap,cards,64,68,composer_Mozart_into_Bach,composer_Bach_Mozart,Mozart,Bach,composer,[2],78,76,34.0,34,-0.5102040816326531,34,0.40816326530612246,34,0.42857142857142855,31.602040816326536,3.60204081632653,5.459183673469386,1.897959183673468,0.1224489795918367,26
gap,cards,64,68,country_France_into_Japan,country_France_Japan,France,Japan,country,[2],78,76,31.0,31,-0.2602739726027397,31,0.4246575342465753,31,0.3150684931506849,23.82191780821918,4.952054794520548,8.32876712328767,3.3561643835616435,0.1917808219178082,24
gap,cards,64,68,country_Japan_into_France,country_France_Japan,Japan,France,country,[2],78,76,31.0,31,-0.3972602739726027,31,0.28767123287671237,31,0.3356164383561644,26.636986301369863,6.260273972602739,11.068493150684931,5.349315068493151,0.273972602739726,25
gap,cards,64,68,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,Darwin,Einstein,scientist,[2],78,76,32.0,34,-0.2115384615384615,34,0.326923076923077,34,0.25,25.365384615384617,3.2980769230769225,4.490384615384615,1.211538461538461,0.1346153846153846,28
gap,cards,64,68,scientist_Darwin_into_Newton,scientist_Darwin_Newton,Darwin,Newton,scientist,[2],78,76,33.0,34,-0.3157894736842105,34,0.33333333333333326,34,0.3333333333333333,27.140350877192986,3.096491228070175,6.517543859649122,2.850877192982455,0.1929824561403508,28
gap,cards,64,68,scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,Einstein,Darwin,scientist,[2],78,76,32.0,34,-0.34615384615384615,34,0.2500000000000001,34,0.2499999999999999,30.88461538461538,5.326923076923077,9.557692307692307,4.221153846153845,0.2307692307692307,24
